Date,time_period_end,time_open,time_close,Open,High,Low,Close,Volume,trades_count
2017-05-29T12:15:00.0000000Z,2017-05-29T12:30:00.0000000Z,2017-05-29T12:15:00.0000000Z,2017-05-29T12:29:58.0000000Z,265001.0,265771.0,264559.0,265082.0,90.3119709,1684
2017-05-29T12:30:00.0000000Z,2017-05-29T12:45:00.0000000Z,2017-05-29T12:30:01.0000000Z,2017-05-29T12:44:59.0000000Z,265078.0,265900.0,264991.0,265563.0,84.27552493,1628
2017-05-29T12:45:00.0000000Z,2017-05-29T13:00:00.0000000Z,2017-05-29T12:45:00.0000000Z,2017-05-29T12:59:59.0000000Z,265477.0,265704.0,263918.0,264200.0,133.13616069,1903
2017-05-29T13:00:00.0000000Z,2017-05-29T13:15:00.0000000Z,2017-05-29T13:00:00.0000000Z,2017-05-29T13:14:48.0000000Z,264162.0,264999.0,263300.0,264021.0,102.38581838,1415
2017-05-29T13:15:00.0000000Z,2017-05-29T13:30:00.0000000Z,2017-05-29T13:15:05.0000000Z,2017-05-29T13:29:59.0000000Z,264110.0,264112.0,263240.0,263615.0,85.79622898,1617
2017-05-29T13:30:00.0000000Z,2017-05-29T13:45:00.0000000Z,2017-05-29T13:30:00.0000000Z,2017-05-29T13:44:58.0000000Z,263619.0,264875.0,263537.0,264389.0,122.48448778,1897
2017-05-29T13:45:00.0000000Z,2017-05-29T14:00:00.0000000Z,2017-05-29T13:45:00.0000000Z,2017-05-29T13:59:59.0000000Z,264403.0,264700.0,263500.0,263640.0,104.27512929,1939
2017-05-29T14:00:00.0000000Z,2017-05-29T14:15:00.0000000Z,2017-05-29T14:00:02.0000000Z,2017-05-29T14:14:58.0000000Z,263640.0,263900.0,263200.0,263420.0,100.64188059,1727
2017-05-29T14:15:00.0000000Z,2017-05-29T14:30:00.0000000Z,2017-05-29T14:15:04.0000000Z,2017-05-29T14:29:46.0000000Z,263420.0,263800.0,263367.0,263627.0,91.97685578,1624
2017-05-29T14:30:00.0000000Z,2017-05-29T14:45:00.0000000Z,2017-05-29T14:30:03.0000000Z,2017-05-29T14:44:59.0000000Z,263431.0,264700.0,263328.0,264582.0,92.39278914,1149
2017-05-29T14:45:00.0000000Z,2017-05-29T15:00:00.0000000Z,2017-05-29T14:45:00.0000000Z,2017-05-29T14:59:59.0000000Z,264586.0,265000.0,263680.0,264778.0,85.20842298,1290
2017-05-29T15:00:00.0000000Z,2017-05-29T15:15:00.0000000Z,2017-05-29T15:00:00.0000000Z,2017-05-29T15:14:57.0000000Z,264694.0,264700.0,264108.0,264392.0,30.05306429,806
2017-05-29T15:15:00.0000000Z,2017-05-29T15:30:00.0000000Z,2017-05-29T15:15:01.0000000Z,2017-05-29T15:29:59.0000000Z,264307.0,264800.0,264306.0,264625.0,59.36833291,1015
2017-05-29T15:30:00.0000000Z,2017-05-29T15:45:00.0000000Z,2017-05-29T15:30:02.0000000Z,2017-05-29T15:44:58.0000000Z,264623.0,264800.0,264241.0,264541.0,94.76737041,874
2017-05-29T15:45:00.0000000Z,2017-05-29T16:00:00.0000000Z,2017-05-29T15:45:06.0000000Z,2017-05-29T15:59:55.0000000Z,264587.0,264932.0,264583.0,264820.0,29.94404071,706
2017-05-29T16:00:00.0000000Z,2017-05-29T16:15:00.0000000Z,2017-05-29T16:00:13.0000000Z,2017-05-29T16:14:59.0000000Z,264798.0,265000.0,264710.0,265000.0,44.68669124,747
2017-05-29T16:15:00.0000000Z,2017-05-29T16:30:00.0000000Z,2017-05-29T16:15:01.0000000Z,2017-05-29T16:29:58.0000000Z,265000.0,266635.0,264998.0,265617.0,159.86502088,1346
2017-05-29T16:30:00.0000000Z,2017-05-29T16:45:00.0000000Z,2017-05-29T16:30:01.0000000Z,2017-05-29T16:44:57.0000000Z,265620.0,265993.0,264500.0,264529.0,85.71963592,1244
2017-05-29T16:45:00.0000000Z,2017-05-29T17:00:00.0000000Z,2017-05-29T16:45:01.0000000Z,2017-05-29T16:59:59.0000000Z,264500.0,264968.0,263680.0,264094.0,95.54010326,1222
2017-05-29T17:00:00.0000000Z,2017-05-29T17:15:00.0000000Z,2017-05-29T17:00:01.0000000Z,2017-05-29T17:14:47.0000000Z,264094.0,265500.0,263820.0,264571.0,71.83340059,775
2017-05-29T17:15:00.0000000Z,2017-05-29T17:30:00.0000000Z,2017-05-29T17:15:34.0000000Z,2017-05-29T17:29:59.0000000Z,264896.0,266444.0,264556.0,265912.0,67.42797258,1368
2017-05-29T17:30:00.0000000Z,2017-05-29T17:45:00.0000000Z,2017-05-29T17:30:01.0000000Z,2017-05-29T17:44:56.0000000Z,265826.0,266539.0,265180.0,265878.0,46.32508027,1161
