Close,High,Low,Open,time_close,time_open,time_period_end,Date,trades_count,Volume
1130807.0,1130807.0,1128506.0,1129441.0,2020-09-29T17:58:31.4910000Z,2020-09-29T17:45:31.7800000Z,2020-09-29T18:00:00.0000000Z,2020-09-29T17:45:00.0000000Z,40,1.5038
1131456.0,1131457.0,1130570.0,1130621.0,2020-09-29T18:14:54.9550000Z,2020-09-29T18:00:03.3620000Z,2020-09-29T18:15:00.0000000Z,2020-09-29T18:00:00.0000000Z,46,0.8943
1136000.0,1136000.0,1131453.0,1131456.0,2020-09-29T18:29:05.6640000Z,2020-09-29T18:15:01.9690000Z,2020-09-29T18:30:00.0000000Z,2020-09-29T18:15:00.0000000Z,141,8.2233
1135247.0,1136000.0,1135247.0,1136000.0,2020-09-29T18:42:03.6620000Z,2020-09-29T18:30:03.6380000Z,2020-09-29T18:45:00.0000000Z,2020-09-29T18:30:00.0000000Z,31,1.6281
1136057.0,1136057.0,1135247.0,1135247.0,2020-09-29T18:57:32.3540000Z,2020-09-29T18:45:55.9330000Z,2020-09-29T19:00:00.0000000Z,2020-09-29T18:45:00.0000000Z,19,0.1288
1136048.0,1136501.0,1136048.0,1136057.0,2020-09-29T19:14:11.7760000Z,2020-09-29T19:00:03.2130000Z,2020-09-29T19:15:00.0000000Z,2020-09-29T19:00:00.0000000Z,11,0.243
1135628.0,1138024.0,1135297.0,1136048.0,2020-09-29T19:29:53.7320000Z,2020-09-29T19:15:32.6910000Z,2020-09-29T19:30:00.0000000Z,2020-09-29T19:15:00.0000000Z,87,1.1735
1135901.0,1135968.0,1135455.0,1135968.0,2020-09-29T19:43:32.0800000Z,2020-09-29T19:30:04.2010000Z,2020-09-29T19:45:00.0000000Z,2020-09-29T19:30:00.0000000Z,16,0.1962
1136885.0,1139000.0,1135902.0,1135902.0,2020-09-29T19:59:02.4520000Z,2020-09-29T19:45:37.6080000Z,2020-09-29T20:00:00.0000000Z,2020-09-29T19:45:00.0000000Z,78,2.1678
1138000.0,1138520.0,1136922.0,1136922.0,2020-09-29T20:08:24.2300000Z,2020-09-29T20:00:04.3340000Z,2020-09-29T20:15:00.0000000Z,2020-09-29T20:00:00.0000000Z,30,1.4291
1138052.0,1138445.0,1137487.0,1138001.0,2020-09-29T20:29:15.0280000Z,2020-09-29T20:16:43.2310000Z,2020-09-29T20:30:00.0000000Z,2020-09-29T20:15:00.0000000Z,29,0.5743
