product_code,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,ltp,volume,volume_by_product
BTC_JPY,2020-05-29T00:05:59.27,12689916,1031657.0,1032289.0,0.3683,0.5853,1699.07551301,1957.24644568,1032289.0,120533.15345224,6164.14486521
BTC_JPY,2020-05-29T00:06:04.363,12690002,1031710.0,1032488.0,0.102,0.5856,1701.41501301,1959.24634568,1032488.0,120538.31558605,6164.64486521
BTC_JPY,2020-05-29T00:06:08.513,12690093,1031758.0,1032488.0,0.5761,0.5104,1700.40341301,1964.56574567,1031707.0,120538.48873576,6165.64486521
BTC_JPY,2020-05-29T00:06:14.19,12690232,1031731.0,1032459.0,0.05,0.6685,1700.10946355,1965.33006565,1032290.0,120548.02369326,6165.57286521
BTC_JPY,2020-05-29T00:06:18.58,12690350,1031732.0,1032488.0,0.5685,0.3,1703.06283506,1963.26884566,1032290.0,120561.34630657,6165.57286521
BTC_JPY,2020-05-29T00:06:23.723,12690444,1031730.0,1032462.0,0.02,0.218,1705.37433506,1963.92109565,1032290.0,120558.15932062,6165.57286521
BTC_JPY,2020-05-29T00:06:28.93,12690560,1031811.0,1032460.0,0.32,0.5685,1703.26326355,1963.8711177,1032290.0,120552.62830685,6165.46200866
BTC_JPY,2020-05-29T00:06:33.637,12690648,1031811.0,1032487.0,0.22,0.6648,1703.25803506,1964.14441769,1031811.0,120552.50569104,6165.56200866
BTC_JPY,2020-05-29T00:06:39.11,12690839,1031290.0,1031769.0,0.1,0.5648,1701.38223575,1959.84431851,1031500.0,120585.24382565,6165.57200866
BTC_JPY,2020-05-29T00:06:44.12,12690959,1031291.0,1031739.0,0.3771,0.40000013,1701.40333575,1962.36099619,1031500.0,120598.61976516,6165.57200866
BTC_JPY,2020-05-29T00:06:49.013,12691095,1031290.0,1031870.0,0.1,0.5648,1700.70903575,1964.88815851,1031500.0,120619.86868177,6165.57200866
BTC_JPY,2020-05-29T00:06:54.817,12691234,1031290.0,1031738.0,0.1,0.88,1702.25523588,1966.71702849,1031500.0,120613.83024832,6165.57200866
BTC_JPY,2020-05-29T00:06:58.71,12691325,1031290.0,1031789.0,0.1,0.5648,1701.96523588,1965.05866849,1031500.0,120610.07438171,6165.37600866
